Variation,AssignedValue
Semi-Auto,Semi-Auto
Manual,Manual
anual,Manual
Semi-Aut,Semi-Auto
Automatic,Automatic
manual,Manual
unknown,Unknown
Manua,Manual
AUTOMATIC,Automatic
MANUAL,Manual
semi-auto,Semi-Auto
 Manual ,Manual
automatic,Automatic
emi-Auto,Semi-Auto
SEMI-AUTO,Semi-Auto
SEMI-AUT,Semi-Auto
Automati,Automatic
ANUAL,Manual
utomatic,Automatic
unknow,Unknown
EMI-AUTO,Semi-Auto
manua,Manual
anua,Manual
emi-Aut,Semi-Auto
MANUA,Manual
emi-auto,Semi-Auto
UTOMATIC,Automatic
 manual ,Manual
 MANUAL ,Manual
UNKNOWN,Unknown
nknown,Unknown
automati,Automatic
Other,Manual
semi-aut,Semi-Auto
 Manual,Manual
AUTOMATI,Automatic
utomati,Automatic
Manual ,Manual
manual ,Manual
nknow,Unknown
