model,n_estimators,max_depth,min_samples_split,min_samples_leaf,bootstrap,RMSE,MAE,R2
rf_n100_d10_split5_leaf2_boot,100,10,5,2,True,2704.9694491893956,1637.817138219591,0.933356972534354
rf_n100_d10_split5_leaf2_noboot,100,10,5,2,False,3014.246130144066,1827.198231750234,0.9156461170596358
rf_n100_d10_split5_leaf5_boot,100,10,5,5,True,2735.9122416087985,1642.9553354953757,0.9328743197998758
rf_n100_d10_split5_leaf5_noboot,100,10,5,5,False,2999.386624031691,1825.0602929603144,0.9172508441253868
rf_n100_d10_split10_leaf2_boot,100,10,10,2,True,2715.2868938742045,1640.6436411336326,0.9332009396115144
rf_n100_d10_split10_leaf2_noboot,100,10,10,2,False,3012.4997514709066,1828.2167839443123,0.9156560397078742
rf_n100_d10_split10_leaf5_boot,100,10,10,5,True,2735.9122416087985,1642.9553354953757,0.9328743197998758
rf_n100_d10_split10_leaf5_noboot,100,10,10,5,False,2999.3866240316906,1825.0602929603144,0.9172508441253868
rf_n100_d30_split5_leaf2_boot,100,30,5,2,True,2323.3446670154053,1327.698963949079,0.9484727221082775
rf_n100_d30_split5_leaf2_noboot,100,30,5,2,False,2834.6116990176442,1616.3338410345427,0.9224456626608329
rf_n100_d30_split5_leaf5_boot,100,30,5,5,True,2416.744877707689,1370.9272468226693,0.9466205349504155
rf_n100_d30_split5_leaf5_noboot,100,30,5,5,False,2720.632271603901,1563.8013657202953,0.9302033992719826
rf_n100_d30_split10_leaf2_boot,100,30,10,2,True,2347.320714259492,1336.4002401626526,0.9483403939209089
rf_n100_d30_split10_leaf2_noboot,100,30,10,2,False,2741.8740129204084,1575.651851041414,0.9263949408060569
rf_n100_d30_split10_leaf5_boot,100,30,10,5,True,2416.744877707689,1370.9272468226693,0.9466205349504155
rf_n100_d30_split10_leaf5_noboot,100,30,10,5,False,2720.632271603901,1563.8013657202953,0.9302033992719826
rf_n100_d50_split5_leaf2_boot,100,50,5,2,True,2324.9306056741143,1327.885694124586,0.9484636327563996
rf_n100_d50_split5_leaf2_noboot,100,50,5,2,False,2834.6746660394056,1616.9093265701079,0.9224190569226651
rf_n100_d50_split5_leaf5_boot,100,50,5,5,True,2416.6495113988644,1370.907464520066,0.9466240205162778
rf_n100_d50_split5_leaf5_noboot,100,50,5,5,False,2720.6218303345804,1563.7849931045766,0.9302047200299495
rf_n100_d50_split10_leaf2_boot,100,50,10,2,True,2347.242883112339,1336.3918556601711,0.9483397796939549
rf_n100_d50_split10_leaf2_noboot,100,50,10,2,False,2741.7100401182474,1575.8448552574405,0.9263770461137888
rf_n100_d50_split10_leaf5_boot,100,50,10,5,True,2416.649511398865,1370.907464520066,0.9466240205162778
rf_n100_d50_split10_leaf5_noboot,100,50,10,5,False,2720.6218303345804,1563.7849931045769,0.9302047200299495
rf_n500_d10_split5_leaf2_boot,500,10,5,2,True,2700.127073161725,1635.4736816007178,0.9335235380207196
rf_n500_d10_split5_leaf2_noboot,500,10,5,2,False,3013.742978898078,1827.1040715540544,0.9156361459057468
rf_n500_d10_split5_leaf5_boot,500,10,5,5,True,2731.178350110017,1641.0583821883424,0.9330568360522633
rf_n500_d10_split5_leaf5_noboot,500,10,5,5,False,2999.305590733217,1825.0250342108309,0.9172535433393136
rf_n500_d10_split10_leaf2_boot,500,10,10,2,True,2710.5821820242527,1638.1935969850672,0.9333815996434598
rf_n500_d10_split10_leaf2_noboot,500,10,10,2,False,3012.1194877589996,1828.2006571142424,0.9156561115650466
rf_n500_d10_split10_leaf5_boot,500,10,10,5,True,2731.178350110017,1641.0583821883429,0.9330568360522633
rf_n500_d10_split10_leaf5_noboot,500,10,10,5,False,2999.305590733217,1825.0250342108309,0.9172535433393136
rf_n500_d30_split5_leaf2_boot,500,30,5,2,True,2318.751907306139,1323.8492171567398,0.9486802043042983
rf_n500_d30_split5_leaf2_noboot,500,30,5,2,False,2829.6701689858846,1616.1224590836991,0.922459673855115
rf_n500_d30_split5_leaf5_boot,500,30,5,5,True,2410.6701156818135,1368.3316954751149,0.9468304496956625
rf_n500_d30_split5_leaf5_noboot,500,30,5,5,False,2720.529893849204,1563.7682157287586,0.9302097535880067
rf_n500_d30_split10_leaf2_boot,500,30,10,2,True,2342.089968633577,1332.6196444414477,0.948560069641975
rf_n500_d30_split10_leaf2_noboot,500,30,10,2,False,2742.265907080694,1575.7113663079663,0.9263789341649968
rf_n500_d30_split10_leaf5_boot,500,30,10,5,True,2410.6701156818135,1368.3316954751149,0.9468304496956625
rf_n500_d30_split10_leaf5_noboot,500,30,10,5,False,2720.5298938492047,1563.7682157287586,0.9302097535880067
rf_n500_d50_split5_leaf2_boot,500,50,5,2,True,2319.1829123823136,1323.918535561977,0.9486795378157721
rf_n500_d50_split5_leaf2_noboot,500,50,5,2,False,2832.4621410838045,1616.772447375533,0.9224315000690643
rf_n500_d50_split5_leaf5_boot,500,50,5,5,True,2410.7188652210752,1368.3365355390767,0.9468307839588455
rf_n500_d50_split5_leaf5_noboot,500,50,5,5,False,2720.5621585964427,1563.7702731247768,0.9302093625632292
rf_n500_d50_split10_leaf2_boot,500,50,10,2,True,2341.9077571064086,1332.6160426371957,0.9485547957896291
rf_n500_d50_split10_leaf2_noboot,500,50,10,2,False,2741.9287751359007,1575.850094254811,0.926373840984472
rf_n500_d50_split10_leaf5_boot,500,50,10,5,True,2410.718865221075,1368.3365355390767,0.9468307839588455
rf_n500_d50_split10_leaf5_noboot,500,50,10,5,False,2720.5621585964427,1563.7702731247768,0.9302093625632292
rf_n1000_d10_split5_leaf2_boot,1000,10,5,2,True,2699.3504989735757,1635.1192422487316,0.9335446159861218
rf_n1000_d10_split5_leaf2_noboot,1000,10,5,2,False,3013.8574966340047,1827.1131285514173,0.9156281862991719
rf_n1000_d10_split5_leaf5_boot,1000,10,5,5,True,2729.8628087720945,1640.8061355679542,0.9330753729377325
rf_n1000_d10_split5_leaf5_noboot,1000,10,5,5,False,2999.298175872621,1825.019809317432,0.917253457258272
rf_n1000_d10_split10_leaf2_boot,1000,10,10,2,True,2710.2149424700983,1637.8526955440261,0.933398072595535
rf_n1000_d10_split10_leaf2_noboot,1000,10,10,2,False,3012.322445650323,1828.2122000054562,0.9156536731101925
rf_n1000_d10_split10_leaf5_boot,1000,10,10,5,True,2729.862808772095,1640.8061355679542,0.9330753729377325
rf_n1000_d10_split10_leaf5_noboot,1000,10,10,5,False,2999.2981758726205,1825.019809317432,0.917253457258272
rf_n1000_d30_split5_leaf2_boot,1000,30,5,2,True,2318.569892299334,1323.3691127416182,0.9487045083243586
rf_n1000_d30_split5_leaf2_noboot,1000,30,5,2,False,2830.548085809897,1616.0985062178943,0.9224617731216334
rf_n1000_d30_split5_leaf5_boot,1000,30,5,5,True,2409.0285492392336,1367.9951035548734,0.9468593656787387
rf_n1000_d30_split5_leaf5_noboot,1000,30,5,5,False,2720.554250665437,1563.7831986725969,0.9302092883239224
rf_n1000_d30_split10_leaf2_boot,1000,30,10,2,True,2342.2618001001297,1332.2907424163802,0.9485774453613299
rf_n1000_d30_split10_leaf2_noboot,1000,30,10,2,False,2742.2469302,1575.6970963203435,0.9263824424006607
rf_n1000_d30_split10_leaf5_boot,1000,30,10,5,True,2409.0285492392336,1367.9951035548734,0.9468593656787387
rf_n1000_d30_split10_leaf5_noboot,1000,30,10,5,False,2720.554250665437,1563.7831986725969,0.9302092883239224
rf_n1000_d50_split5_leaf2_boot,1000,50,5,2,True,2319.0010461527845,1323.4077332824595,0.9487052544909641
rf_n1000_d50_split5_leaf2_noboot,1000,50,5,2,False,2831.926849233844,1616.729394409685,0.9224321498049285
rf_n1000_d50_split5_leaf5_boot,1000,50,5,5,True,2409.0495402792994,1367.993748335381,0.9468593507815457
rf_n1000_d50_split5_leaf5_noboot,1000,50,5,5,False,2720.573653575292,1563.7743150406277,0.930209481944566
rf_n1000_d50_split10_leaf2_boot,1000,50,10,2,True,2342.180095756142,1332.291024980927,0.9485757795413987
rf_n1000_d50_split10_leaf2_noboot,1000,50,10,2,False,2742.4870155385333,1575.8813216769493,0.9263735931215855
rf_n1000_d50_split10_leaf5_boot,1000,50,10,5,True,2409.0495402792994,1367.993748335381,0.9468593507815457
rf_n1000_d50_split10_leaf5_noboot,1000,50,10,5,False,2720.5736535752926,1563.7743150406277,0.930209481944566
