number,average_rmse,duration,params_activation,params_batch_size,params_dropout,params_epochs,params_hidden_layers,params_lr,params_optimizer,params_units,state
0,4606.492585251521,0 days 00:01:52.600108,relu,16,0.30000000000000004,86,1,0.0025858009819944663,rmsprop,128,COMPLETE
1,4079.2396078370393,0 days 00:03:28.136105,sigmoid,128,0.1,96,3,0.007371213434911142,rmsprop,224,COMPLETE
2,3548.04305003229,0 days 00:02:02.202710,sigmoid,128,0.5,46,1,5.0389066124489505e-05,adam,192,COMPLETE
3,3596.5989426433507,0 days 00:00:31.429606,relu,128,0.0,64,1,0.00029264682723972044,adam,224,COMPLETE
4,3655.1005100663083,0 days 00:10:58.270157,sigmoid,128,0.4,61,3,0.0005893060047456499,adam,192,COMPLETE
5,1.7006225282312912e+31,0 days 00:01:13.661904,relu,64,0.4,64,4,0.008686597791394558,rmsprop,160,COMPLETE
6,4101.61925848924,0 days 00:25:08.577753,sigmoid,32,0.30000000000000004,69,3,0.007286162697118212,rmsprop,192,COMPLETE
7,3578.8030641736405,0 days 00:03:00.542940,tanh,128,0.4,90,3,0.0008611892213535352,adam,160,COMPLETE
8,3719.179773900337,0 days 00:21:18.836621,relu,32,0.30000000000000004,89,4,1.0380190951590647e-05,rmsprop,224,COMPLETE
9,3537.8967080911725,0 days 00:06:10.845654,relu,128,0.30000000000000004,99,2,1.3615974765394852e-05,adam,128,COMPLETE
10,3553.4083437663185,0 days 00:03:53.403838,tanh,64,0.1,30,2,1.2710218121836318e-05,adam,32,COMPLETE
11,5521.402229990215,0 days 00:02:38.709862,sigmoid,128,0.5,41,2,5.620230462394259e-05,adam,96,COMPLETE
12,3561.395545166031,0 days 00:11:23.974694,sigmoid,16,0.5,47,1,4.7726725391824065e-05,adam,96,COMPLETE
13,3538.985721490061,0 days 00:04:53.024523,relu,128,0.2,79,2,4.993429996827074e-05,adam,256,COMPLETE
14,3863.9384231996432,0 days 00:03:39.432219,relu,128,0.2,78,2,0.00013271183917489533,adam,256,COMPLETE
15,3652.830983313606,0 days 00:06:09.137683,relu,128,0.2,99,2,2.54792029662171e-05,adam,32,COMPLETE
16,3708.167528789443,0 days 00:08:22.516534,relu,32,0.1,79,2,0.00013230682834669379,adam,96,COMPLETE
17,3523.734474296443,0 days 00:09:18.809736,relu,64,0.2,76,2,2.0948874329109577e-05,adam,128,COMPLETE
18,3535.351871995654,0 days 00:07:22.597190,tanh,64,0.0,55,3,2.1926259561005013e-05,adam,128,COMPLETE
19,3818.7669031080527,0 days 00:28:22.641860,tanh,64,0.0,55,4,0.00011255465192691465,adam,64,COMPLETE
20,3479.986609007926,0 days 00:09:28.400454,tanh,64,0.0,73,3,2.213225954589399e-05,adam,64,COMPLETE
21,3508.6363061201964,0 days 00:09:21.173359,tanh,64,0.0,72,3,2.480825588534822e-05,adam,64,COMPLETE
22,3535.342619676944,0 days 00:11:18.846680,tanh,64,0.1,73,3,2.3259322905820696e-05,adam,64,COMPLETE
23,3511.096867317488,0 days 00:09:02.059274,tanh,64,0.0,72,3,2.8373433910289712e-05,adam,64,COMPLETE
24,3675.123844244213,0 days 00:10:50.151588,tanh,64,0.0,71,4,8.839068976726529e-05,adam,64,COMPLETE
25,3738.611743560285,0 days 00:11:02.740049,tanh,64,0.0,85,3,0.0002543622503113412,adam,32,COMPLETE
26,3524.9260760991883,0 days 00:06:12.819927,tanh,64,0.1,59,3,3.46875887985436e-05,rmsprop,64,COMPLETE
27,3610.5222274610774,0 days 00:09:39.662476,tanh,64,0.0,67,4,8.312594466222534e-05,adam,96,COMPLETE
28,3527.7852834978403,0 days 00:44:32.443121,tanh,16,0.1,73,3,1.7597165811891277e-05,adam,32,COMPLETE
29,4245.10531756731,0 days 00:25:23.840334,tanh,16,0.0,84,3,0.001389632344541004,rmsprop,64,COMPLETE
